32;Identification;Identification of the organization.
33;Name;The word, or group of words, by which the organization is referred to.
34;Description;Text that relates the nature of the organization.
35;Roles;Roles played by the organization.
36;Addresses;"<EPM-HTML>
Postal and telecom addresses of an organization.
<blockquote><small>NOTE: There may be several addresses related to an organization.
</small></blockquote>
</EPM-HTML>"
37;IsRelatedBy;The inverse relationship for relationship RelatedOrganizations of IfcOrganizationRelationship.
38;Relates;The inverse relationship for relationship RelatingOrganization of IfcOrganizationRelationship.
39;Engages;Inverse relationship to IfcPersonAndOrganization relationships in which IfcOrganization is engaged.
41;Role;"The name of the role played by an actor. If the Role has value USERDEFINED, then
the user defined role shall be provided as a value of the attribute UserDefinedRole."
42;UserDefinedRole;"Allows for specification of user defined roles beyond the 
enumeration values provided by Role attribute of type IfcRoleEnum. 
When a value is provided for attribute UserDefinedRole in parallel 
the attribute Role shall have enumeration value USERDEFINED."
43;Description;A textual description relating the nature of the role played by an actor.
44;HasExternalReference;"<EPM-HTML>
Reference to external information, e.g. library, classification, or document information, which is associated with the actor role.
<blockquote>
  <small>
    <font color=""#ff0000"">
IFC2x4 CHANGE New inverse attribute.
    </font>
  </small>
</blockquote>
</EPM-HTML>"
73;Purpose;Identifies the logical location of the address.
74;Description;Text that relates the nature of the address.
75;UserDefinedPurpose;"Allows for specification of user specific purpose of the address beyond the 
enumeration values provided by Purpose attribute of type IfcAddressTypeEnum. 
When a value is provided for attribute UserDefinedPurpose, in parallel the 
attribute Purpose shall have enumeration value USERDEFINED."
76;OfPerson;The inverse relationship to Person to whom address is associated.
77;OfOrganization;The inverse relationship to Organization to whom address is associated.
80;InternalLocation;An organization defined address for internal mail delivery.
81;AddressLines;"<EPM-HTML>
The postal address.
<blockquote><small>NOTE: A postal address may occupy several lines (or elements) when recorded. 
It is expected that normal usage will incorporate relevant elements of the following address concepts: 
A location within a building (e.g. 3rd Floor) Building name (e.g. Interoperability House) Street number 
(e.g. 6400) Street name (e.g. Alliance Boulevard). Typical content of address lines may vary in different 
countries.
</small></blockquote>
</EPM-HTML>"
82;PostalBox;An address that is implied by an identifiable mail drop.
83;Town;The name of a town.
84;Region;"<EPM-HTML>
The name of a region.
<blockquote><small>NOTE: The counties of the United Kingdom and the states of North America are examples of regions.
</small></blockquote>
</EPM-HTML>"
85;PostalCode;The code that is used by the country's postal service.
86;Country;The name of a country.
89;TelephoneNumbers;The list of telephone numbers at which telephone messages may be received.
90;FacsimileNumbers;The list of fax numbers at which fax messages may be received.
91;PagerNumber;The pager number at which paging messages may be received.
92;ElectronicMailAddresses;The list of Email addresses at which Email messages may be received.
93;WWWHomePageURL;"<EPM-HTML>
The world wide web address at which the preliminary page of information for the person or organization can be located.
<blockquote><small>NOTE: Information on the world wide web for a person or organization may be separated 
into a number of pages and across a number of host sites, all of which may be linked together. It is assumed that 
all such information may be referenced from a single page that is termed the home page for that person or organization.
</font></blockquote>
</EPM-HTML>"
94;MessagingIDs;IDs or addresses for any other means of telecommunication, for example instant messaging, voice-over-IP, or file transfer protocols. The communication protocol is indicated by the URI value with scheme designations such as irc:, sip:, or ftp:.
103;Identification;Identification of the person.
104;FamilyName;"<EPM-HTML>
The name by which the family identity of the person may be recognized.
<blockquote><small>NOTE: Depending on geographical location and culture, family name may appear either as the first or last component of a name.</small></blockquote>
</EPM-HTML>"
105;GivenName;"<EPM-HTML>
The name by which a person is known within a family and by which he or she may be familiarly recognized.
<blockquote><small>NOTE: Depending on geographical location and culture, given name may appear either as the first or last component of a name.</small></blockquote>
</EPM-HTML>"
106;MiddleNames;"<EPM-HTML>
Additional names given to a person that enable their identification apart from others who may have the same or similar family and given names.
<blockquote><small>NOTE: Middle names are not normally used in familiar communication but may be asserted to provide additional 
identification of a particular person if necessary. They may be particularly useful in situations where the person concerned has a 
family name that occurs commonly in the geographical region.
</small></blockquote>
</EPM-HTML>"
107;PrefixTitles;The word, or group of words, which specify the person's social and/or professional standing and appear before his/her names.
108;SuffixTitles;The word, or group of words, which specify the person's social and/or professional standing and appear after his/her names.
109;Roles;Roles played by the person.
110;Addresses;"<EPM-HTML>
Postal and telecommunication addresses of a person.
<blockquote><small>NOTE - A person may have several addresses.
</small></blockquote>
</EPM-HTML>"
111;EngagedIn;The inverse relationship to IfcPersonAndOrganization relationships in which IfcPerson is engaged.
114;ThePerson;The person who is related to the organization.
115;TheOrganization;The organization to which the person is related.
116;Roles;"<EPM-HTML>

Roles played by the person within the context of an organization.  These may differ from the roles in <i>ThePerson.Roles</i> which may be asserted without organizational context.

</EPM-HTML>"
118;Name;The word or group of words by which the relationship is referred to.
119;Description;Text that relates the nature of the relationship.
120;RelatingOrganization;Organization which is the relating part of the relationship between organizations.
121;RelatedOrganizations;The other, possibly dependent, organizations which are the related parts of the relationship between organizations.
124;Identifier;A computer interpretable identifier by which the approval is known.
125;Name;A human readable name given to an approval.
126;Description;"A general textual description of a design, work task, plan, etc. that is being approved for. "
127;TimeOfApproval;"<EPM-HTML>
Date and time when the result of the approval process is produced.
<blockquote>
  <p>
    <span style=""font-size:smaller;color:red"">
IFC2x4 CHANGE&nbsp; Attribute data type changed to <i>IfcDateTime</i> using ISO 8601 representation, renamed from ApprovalDateTime and made OPTIONAL.
    </span>
  </p>
</blockquote>
</EPM-HTML>"
128;Status;The result or current status of the approval, e.g. Requested, Processed, Approved, Not Approved.
129;Level;Level of the approval e.g. Draft v.s. Completed design.
