31;IfcOrganization;"<EPM-HTML>
<p>A named and structured grouping with a corporate identity.</p>

<blockquote class=""note"">
NOTE: The relationships between <I>IfcOrganizations</I>, like a Department within a Company, can be expressed using <I>IfcOrganizationRelationship</I>.
</blockquote>

<blockquote class=""note"">
NOTE Corresponds to the following entity in ISO-10303-41: organization.
</blockquote>

<blockquote class=""history"">
HISTORY New entity in IFC Release 1.5.1.<br>
IFC 2x4 change: attribute <I>Id</I> renamed to <i>Identification</i>.
</blockquote>

</EPM-HTML>"
40;IfcActorRole;"<EPM-HTML>

<p>Definition: A role which is performed by an actor, either a person, an organization or a 
person related to an organization.</p>

<blockquote class=""note"">
NOTE: The list of roles of the enumeration values of the <I>Role</I> attribute can never
be complete. Therefore using enumeration value USERDEFINED, the user can provide his/her own role as a value 
of the attribute <I>UserDefinedRole</I>.
</blockquote>

<blockquote class=""note"">
  Corresponds to the following entity in ISO-10303-41: organization_role and person_role.
</blockquote>

<blockquote class=""history"">
HISTORY New entity in IFC Release 1.5.1
</blockquote>

</EPM-HTML>"
70;IfcAddress;"<EPM-HTML>

<p>Definition: An abstract entity type for various kinds of postal and telecom addresses.</p>

<blockquote class=""note"">
NOTE Corresponds to the following entity in ISO-10303-41: address.
</blockquote>

<blockquote class=""history"">
HISTORY New entity in IFC Release 1.5.1.
</blockquote>

</EPM-HTML>"
79;IfcPostalAddress;"<EPM-HTML>
<p>Definition: The address for delivery of paper based mail.</p>

<blockquote class=""history"">
HISTORY New entity in IFC Release 2x.
</blockquote>

</EPM-HTML>"
88;IfcTelecomAddress;"<EPM-HTML>
<p>Definition: Address to which telephone, electronic mail and other forms of telecommunications should be addressed.</p>

<blockquote>
HISTORY New entity in IFC Release 2x.
<br>
IFC 2x4 change:  Added attribute <i>MessagingIDs</i>.
Type of attribute <i>WWWHomePageURL</i> compatibly changed from <i>IfcLabel</i> to <i>IfcURIReference</i>.
</blockquote>

</EPM-HTML>"
102;IfcPerson;"<EPM-HTML>
<p>Definition: an individual human being.</p>

<blockquote class=""note"">
NOTE Many countries have legislation concerning the identification of individual persons within databases. Although the intent of the IFC Model is to act as a specification for data exchange 
and sharing, an IFC file might in some situations be considered to be a database that enables identification of a particular person under the terms of such legislation. Users should be aware of the constraints of legislation that might apply in the places where IFC files are used.
</blockquote>

<blockquote class=""note"">
NOTE Corresponds to the following entity in ISO-10303-41: person.
</blockquote>

<blockquote class=""history"">
HISTORY New entity in IFC Release 1.5.1.<br>
IFC 2x4 change: attribute <I>Id</I> renamed to <I>Identification</I>.  WHERE rule relaxed to allow omission of names if <i>Identification</i> is provided.
</blockquote>

</EPM-HTML>"
113;IfcPersonAndOrganization;"<EPM-HTML>

<p>Definition: Identification of a person within an organization.</p>

<blockquote class=""note"">
NOTE Corresponds to the following entity in ISO-10303-41: person_and_organization.
</blockquote>

<blockquote class=""history"">
HISTORY New entity in IFC Release 1.5.1
</blockquote>

</EPM-HTML>"
117;IfcOrganizationRelationship;"<EPM-HTML>
<p>Definition: establishes an association between one relating organization and one or more related organizations.</p>

<blockquote class=""note"">
NOTE Corresponds to the following entity in ISO-10303-41: organization_relationship.
</blockquote>

<blockquote class=""history"">
HISTORY New entity in IFC Release 2x.<BR>
IFC 2x4 change: attribute <I>Name</I> made optional.
</blockquote>

</EPM-HTML>"
123;IfcApproval;"<EPM-HTML>

<p>Definition: An <i>IfcApproval</i> represents information about approval processes such as for a plan, a design, a proposal, or a change order in a construction or facilities management project. <i>IfcApproval</i> is referenced by <i>IfcRelAssociatesApproval</i> in <i>IfcControlExtension</i> schema, and thereby can be related to all subtypes of <i>IfcRoot</i>. An approval may also be given to resource objects using <i>IfcResourceApprovalRelationship</i>
</p>

<blockquote class=""history"">
HISTORY New Entity in IFC Release 2.0
</blockquote>

<blockquote class=""change-ifc2x4"">
IFC2x Edition 4 CHANGE&nbsp; Attributes Identifier and Name made optional, where rule added to require at least one of them being asserted. Inverse attributes ApprovedObjects, ApprovedResources and HasExternalReferences added. Inverse attribute Properties deleted (more general relationship via inverse ApprovedResources to be used instead).
</blockquote>

</EPM-HTML>"
139;IfcApprovalRelationship;"<EPM-HTML> 

<p>An <i>IfcApprovalRelationship</i> associates approvals (one
relating approval and one or more related approvals), each having different status or level as the approval process or the approved
objects evolve.</p>

<blockquote class=""history"">
HISTORY: New entity in Release IFC2x2.</span><br>
</blockquote>

<blockquote class=""change-ifc2x4"">
IFC2x4 CHANGE&nbsp; Subtyped from <em>IfcResourceLevelRelationship</em>, order of attributes changed.
</blockquote>

</EPM-HTML>"
